reviews,reviewers,date_reviews,rating,course_id
"I give the course a 2-2.5. I've graduated with a Bachelor's in Finance and wanted to try a coursera course to expand, or reaffirm, my knowledge of various topics. I did relearn a handful of concepts and learn more about other topics. But, it makes more sense as an intro class. As others were saying, I guess the course is taken from a full course, so the videos are snippets and do not provide a full understanding of all the topics.The slides can be put together better (too wordy and/or provide a reference guide on what was covered in the entire lecture). I had the videos on 1.5x-2.0x speed as the prof spoke slow so I can see why people were annoyed by that. If anyone has taken a course on Investopedia, they do it better. They provide exercises frequently, notes, and make the content engaging and easy to follow. Maybe check out Investopedia for a small range of courses.But to answer who this is for.. Someone just starting in Finance. If you had years of Financial markets in college, you do not need this. Or if you take it for free, look at the various videos and watch those as there are some informative videos on areas I haven't learned in college. But overall, not really engaging, kind of thrown together, no resources/notes just slides and closed captions as text. Would be better if topics were broken down, slides were more appealing, notes/guides provided, and different exercises throughout each lecture (the aggregate of all the individual videos).",By Luke R,"Sep 19, 2019",2,financial-markets-global
"Probably the best financial market course on coursera. Intense and very rich in content. Too much,  though. Many topics would require more than a 10 minute video to be properly understood, and some lectures were difficult to follow. I'd probably reduce the content and focus on less topics but giving them more time.",By Stefano E,"Mar 16, 2019",3,financial-markets-global
"From a knowledge perspective, I have learned a lot about financial markets, why various financial instruments exist, and the applications/implications of them. With all due respect to the lecturer, he was not very engaging and did not really provide emphasis on key concepts to make it stick. When explaining the concepts, he would ""dilute"" it with extra words or go off talking about ""relevant"" back story without wrapping it all up at the end. I had to review most of the videos a second time.",By James N,"Jun 07, 2019",3,financial-markets-global
"Some parts of the course were informative.  Some were disappointing.  Replaying it in my mind now that I'm done, I feel that the course dwelt on the flaws of financial markets, rather than being an explanation of their workings.  It was an indictment of markets more than I would have expected, instead of being instructive toward them.  There was a section toward the end on ""critics of finance"".  Far less effort was made in defense of modern finance (a wonderful field).",By Anthony S,"Jan 09, 2019",3,financial-markets-global
Topics are good. However the slides are not very well organized and include terminologies unexplained. Math and statistics touched in this course may be too fundamental for those who have a engineering/sciences background.Principles/Concepts: 5/5Math/statistics: 3/5Slides & materials: 2 of 5,By Yunqin Z,"Aug 31, 2019",3,financial-markets-global
"I greatly appreciate having this course avaible for free,. though I suggest to improve it in two ways: a) the chapter's scructure doesn't seem  to fit an specific objective... several contents seem mixed up without logic, b) needs improved dynamics. Faster pace ! I lost interest early on the process",By Daniel D,"Dec 17, 2019",3,financial-markets-global
I would have loved it more if it was more engaging. Group activities and much would have been much better for interactive learning. ,By PRAKHAR S,"Dec 29, 2019",3,financial-markets-global
I don't feel I've learned that much doing this course. Perhaps my expectations were wrong,By Omer M,"Apr 18, 2019",3,financial-markets-global
Muito teórico. Não há muita discussão sobre os desafios de uma abordagem no dia-a-dia.,By Levy H,"Nov 19, 2019",3,financial-markets-global
not able to understand what exactly the professor   want to explain  ,By Rehan I P,"Oct 13, 2019",3,financial-markets-global
The parts about futures are not clear at all. ,By Aiman N,"Apr 15, 2019",3,financial-markets-global
lenghthe,By shivam,"Mar 21, 2019",3,financial-markets-global
"Not as great as expected, but as the teacher said at the beginning, it is a global course about finance which is made for everyone, even non finance students.",By Alex,"Aug 22, 2019",4,financial-markets-global
"I enjoyed this course, despite taking longer than expected, and learnt a lot. I work at a bank as a software developer and this course gives me a better understanding of the domain I'm in. It's a course useful to anyone actually because finance plays a key role in all our lives. What an honour to have taken a course by Robert Shiller. The scripts to the videos need some revising and some parts of the videos, especially the salon segments, are a bit difficult to understand.",By Thomas J,"Oct 10, 2019",4,financial-markets-global
"Prof. Shiller is very insightful and knowledgeable about the subject, but certain portions of the course--especially the mathematical components--are difficult to understand because they are not sufficiently explained. It would be nice to have full or close-to-full videos of lectures instead of just snippets.Keep in mind that this is not a theoretical course. Instead, it is a robustly structured--albeit sometimes hurried--introduction to ""Financial Markets.""",By Aaron G,"Jun 29, 2019",4,financial-markets-global
Very good overview of financial markets with details on historical origins as well. Prof. Sheller has very natural teaching style and content covers a lot of topics. For many places in course it feels like bits and pieces were stitched together and few lectures reference to topics which are not part of videos on the coursera content but might be part of actual class. Overall very educative course.  ,By Gaurav C,"Nov 10, 2019",4,financial-markets-global
"Shiller is definitely an interesting lecturer - he gives real-life examples and personals stories that helps explain how concepts are applied in the financial world today. One drawback is the lack of reading material/supplementary text; sometimes content presented in lectures can be too abstract/confusing to rely only on lecture content. Otherwise, solid introductory course.",By James M,"Jan 24, 2019",4,financial-markets-global
"Introduction to Financial Markets is a well realized introductory course for sophomores interested in finance. Robert Shiller's  course provides with a rough overview of major concepts. The topics are also leisurely paced while the quizes and assignments, not tiresome. It has been a pleasure to complete the course.",By Ritwik K P,"May 31, 2019",4,financial-markets-global
"I do not rate the course with 5 stars simply because I cannot apply what I have learned to my daily duties, te purpose in my case was to have an overview of a core part of the company I work for. Otherwise if you are a person involved in financial markets it is a must! (and highly for beginners and curious minds)",By Pedro V,"Feb 04, 2019",4,financial-markets-global
the lectures are kind of uninteresting. you loose interest while watching it. i think it could have been more fun by adding some interesting things like fun quizzes and games or unknown facts. i was not fully satisfied with the course.,By veenit k s,"Jun 29, 2019",4,financial-markets-global
I learned a lot of things about Financial markets and its branching information. Finance is a wide industry and topic to tackle into. This course helped outline the topics I should begin to journey and know further.,By Janice Y,"Dec 11, 2019",4,financial-markets-global
"Great course about the financial markets, especially for the beginners in the field.It is an amazing experience to be able to learn from the best, Mr Schiller is a great economist with a great reputation. ",By Luis S P,"May 08, 2019",4,financial-markets-global
Good overview of financial markets. Professor Shiller provides many anecdotal stories to help reinforce concepts. Black board sessions and quizzes throughout the course help reinforce learning. ,By Samson S,"Dec 26, 2019",4,financial-markets-global
"Pretty good course. Seems to drag on some very basic topics, then speed through more advanced  sections. Seems to me it should be the other way around. Otherwise a good course.",By Robert G,"Aug 11, 2019",4,financial-markets-global
Good overview course with a broad view of financial markets and social responsibility. Could have been a bit more rigorous with reading assignments and homework,By Anthony B,"Dec 25, 2019",4,financial-markets-global
"

The practical way to teach people who are hundreds of kilometers through videos helps a lot to know the finances and to understand the market better  ",By Darwin H A A,"Jun 27, 2019",4,financial-markets-global
"The course was really enriching. I would have liked more if sir would have covered more about other financial market like India, Australia etc.",By Saurabh H J,"Aug 15, 2019",4,financial-markets-global
A really informative course and it also made me learn new things on a tangent wherein I referred Investopedia to make the learning efficient. ,By Aaron D,"Jul 07, 2019",4,financial-markets-global
The content and Professor Shiller's way of presentation is just the perfect blend for this introductory course.,By Himanshu P,"Dec 27, 2019",4,financial-markets-global
very general and basic concepts useful for those to want to iniciate and have framework about finance,By Álvaro G C,"Jul 21, 2019",4,financial-markets-global
Excellent course to achieve solid basic financial literacy. Like Professor Shiller's style),By Ruslan K,"Aug 08, 2019",4,financial-markets-global
le seul problème c'est que je trouve le contenu de ce cours en français(faut y penser) ,By Jean R B,"Aug 28, 2019",4,financial-markets-global
This course is great for someone who really want to get a starter taste of finance,By Tuntai B,"Dec 22, 2019",4,financial-markets-global
Very interesting course to get an overview about the financial markets,By Joseph M,"Oct 09, 2019",4,financial-markets-global
Its an excellent course I highly recommend it and R. Shiller rocks.,By Mayank G,"Dec 14, 2019",4,financial-markets-global
Muy interesante! Te da una visión global del mundo de las finanzas,By Jon ,"Jul 06, 2019",4,financial-markets-global
Nice Course to learn from and student get to learn a lot from it,By Saif A S,"Mar 22, 2019",4,financial-markets-global
Look through fiancial market by a different point of you,By BRUGIATI M,"May 30, 2019",4,financial-markets-global
it will be better if more chiniese subtles is provided.,By 陈博畅,"Sep 16, 2019",4,financial-markets-global
in financial market i learn many new things from yale ,By Muhammad R,"Mar 28, 2019",4,financial-markets-global
should be tailored on many countries ,By Ahmed M,"Dec 05, 2019",4,financial-markets-global
Comprehensive and interactive ,By Daniel,"Dec 17, 2019",4,financial-markets-global
really enjoying the course,By charles p,"Sep 03, 2019",4,financial-markets-global
Great course. ,By Per K N,"Oct 07, 2019",4,financial-markets-global
M,By PIERRE P,"Aug 21, 2019",4,financial-markets-global
"It’s a good online course in Finance that I have never learned before. I have gained the basic knowledge of financial markets and their applications in reality. Absolutely right, finance is not just about making money that I thought before joining in this course, and as a popular opinion as well, it is more than that, it has much more meaningful. This course has brought to me the necessary skills to make more rational decisions in my life, in my future career, I think. It’s also helped me to realize how I should work in this sector to serve the right purposes, to make the people living around me to be better. And it’s true that educational finance is very important to everyone. Professor Robert Shiller is an amazing teacher, many thanks to Professor Robert Shiller and Yale’s Financial Markets Course team. I highly recommend taking this course! ",By Doan T L ,"May 26, 2019",5,financial-markets-global
"I enjoyed the course thoroughly, it was a little difficult at first because my background isn't in finance. However, I pushed myself  to understand the concepts and principles such that I started to enjoy it. The lectures were really engaging. Now I have foundational understanding of finance upon which I can build my knowledge and also my ability to make informed application.",By Emmanuel I,"Mar 15, 2019",5,financial-markets-global
"You can never get bored with Professor Shiller. He is very passionate about how things work or how to make it happen, and will convince you that everything in life needed finance. He likes history and is a lifelong learner. I rated 5 stars because he made it simple for people to learn regardless of ages or education. ",By Maumau B,"Jun 30, 2019",5,financial-markets-global
"A superb overview of financial markets, with pointers to additional learning materials. I believe this course is useful both from an academic and day-to-day perspective.",By Daniel B,"Mar 09, 2019",5,financial-markets-global
very useful for learning how the market works overall and back to the basics as to why financial markets exist and the what purposes the tools should serve.,By YU L C,"May 17, 2019",5,financial-markets-global
Professor Robert Shiller is the best lecturer I've ever heard! He explains difficult termins using simple examples. THANK YOU Professor!,By Ainel,"May 23, 2019",5,financial-markets-global
"I am glad to have that best experience with your portal , it helps me alot to explore my knowledge in finance field. ",By  R k,"May 25, 2019",5,financial-markets-global
Great course on financial market and benefit to non-financial background personnel. ,By Stanley W,"May 18, 2019",5,financial-markets-global
My first course in this coursera website. I work in the wealth management unit of a bank in the Philippines. I am familiar already with the financial markets because of my college degree but this course gives the information to me on a different and fresh perspective. I am familiar with most of the topics covered here but I understand more about them since Mr Shiller talks about the historical context and gives many examples to picture the underlying i,By John M O C,"Mar 03, 2019",5,financial-markets-global
"Incredible course. The course is difficult, but that's the great thing about it. Having Prof. Shiller as a teacher, even online, is priceless.",By Marc L,"May 19, 2019",5,financial-markets-global
Great course.  Great instructor.,By Robert S D,"May 21, 2019",5,financial-markets-global
"Excellent course, quite intense and allowed for multiple levels of involvement with the honors quizzes. It is a privilege to learn from Prof. Shiller the exact same material that students at Yale learn, at a fraction of the cost from the comfort of your home. Thanks to the team who put this together and to Yale + Coursera. Highly recommend this to everyone who is related to any form of business.",By Aviram V,"Oct 29, 2019",5,financial-markets-global
Hello everyoneI recommend to you all to join this course because this course will give more knowledge about financial market. It will explain your all theoretical doubt and it help you to achieve financial goal. Thank you so much.,By Pramod K S,"May 26, 2019",5,financial-markets-global
"This course allowed me to have better knowledge of the financial market, I feel more confident about some subjects that I needed to understand a 100%",By Carlos E D O,"May 21, 2019",5,financial-markets-global
thank you coursera ,By AKRIT S,"May 19, 2019",5,financial-markets-global
"Great course! This is my first time using the online study platform Coursera to join a single course, and I would like to say it is a nice engaging experience for me when learning the course. I really appreciate the Coursera Platform for providing us the opportunity to study the course from the prestigious professor and university.
The course financial market for me is an excellent courses to involve in the financial backgrounds and basic financial instruments. The course does not dive too deep in the mathematical side but more likely to be the outline and theory side. The most great bones point for the course is that Professor Shiller included so much real life scenarios and single cases into each theory and definition, which really helps me understanding and memorizing the content.
And I got an advice for the platform as well, the single videos and ppt slides are separate with each other, when I study them one by one, sometimes I cannot found the inner logic for each tiny topic and sub-point. Maybe the platform could provide something like the outline for each module to guide the study and show what the connection among all the single topic is. 
Thanks for all the staff and Professor for providing great course for us.
  
",By Winnie W,"Jan 16, 2019",5,financial-markets-global
"Financial Markets is a very resourceful and comprehensive introductory course for neophytes. I think it emphasizes the the different ""pillars"" and fundamentals notions  of modern finance but mostly, describes the bigger picture : the roles finance can play in societies and for business. This course is also interdisciplinary and covers  equations, basic statistics and psychology. It is also filled with examples drawn from history, showing how finance met the challenges growing societies had faced for centuries.  I have now grasped , in an overall manner,  what finance is and I sure would like to drill down on this subject. Thank you Professor Shiller ! ",By Sam A,"Mar 08, 2019",5,financial-markets-global
"A very extensive course with a macro overview of many financial terms and regulations. I really liked the fact that the history of many financial acts, regulations etc was explained. In this way you can understand why certain financial instruments were created and mostly still used today.Professor Shiller is all knowing and a great host to talk us through. Even though I am not a financial specialist I enjoyed the course a lot and it has given me great insights.Thank you for all who made this course possible!",By Jorg v G,"Jun 04, 2019",5,financial-markets-global
"The best thing i ever done this year is taking this course,the lecturer was very analytical and superb,every inch of the course was educative,informative and enjoyable kudos to all the staff that made this possible.I learnt a lot of new techniques as a  financial tools related to both financial markets and others globally.A very deep insight into financial world globally deepens and broaden my knowledge about the nitty-gritty of FINANCE.Prof.Robert shiller you are the best include the rest of the staff.",By Emmanuel O,"Sep 18, 2019",5,financial-markets-global
"Excellent course for business financial planning and capital markets. I could see some flaws in dealing with money in stock purchases and especially in financial investments. I hope that with this more detailed planning you can achieve my goals of applying and investing in products that will benefit you in the future, when you need it most and especially in your professional life. Congratulations to all Coursera staff and especially to Yale University. Thanks for the opportunity.",By ALEXANDRE J D S,"Nov 13, 2019",5,financial-markets-global
"This course I just took for pleasure and in order to have a better understanding of the financial markets.  My only regret is that I did not take this earlier, I gained some familiarity with the mainstream aspects that make our society work: insurance, mortgage, banks, securities, etc.  The professor was excellent I thought.  One of the best classes I've taken in terms of enjoyment and value.  Thank you again!",By Ramiro B,"Jun 16, 2019",5,financial-markets-global
"Whether you're already in the world of finance or currently looking for places to enter the finance sector, this course would do it for you. The course is excellent, but just an introduction to the topic, so anybody who wants a very deep, graduate level study might be disappointed. Prof. Schiller is an excellent lecturer. The course gives a personal, close feeling of the himself, of Yale University. ",By Hana P,"Aug 25, 2019",5,financial-markets-global
"It was a really a great opportunity to be a part of this course, which ultimately enhanced my skills towards finance and its related concepts.As mentioned before at this very moment i wish to send my love and support to Prof. Shiller for his contribution to the entire course session, Yale Management, and the entire Coursera team for there support and guidance Thank you,Regards: AKASH KURIEN",By Akash K,"Jul 01, 2019",5,financial-markets-global
"Just fabulous course! Professor Shiller does an amazing job, explaining the basics of finance! I completely recommend the course to every single person, irrespective of their background, to help get bird's eye view of the basic financial terms and tools! Helps you understand why finance is essential, not only if you have taken it up at graduate or undergraduate level; but is life indeed.",By Putcha L N R,"Apr 13, 2019",5,financial-markets-global
"I really liked the course, even though it very much focused - especially in the housing part - on the US-American view. I would recommend to also have a look on the housing markets and the problem solving capacities of other countries. I am from Vienna, Austria and the city of Vienna addresses the housing issue very well and as well manages to remain the world's most liveable city.",By Schreihans G,"Jun 01, 2019",5,financial-markets-global
I would like to thank Prof. Shiller and his team for this great course. Prof. Shiller has given a comprehensive insight into the financial markets from history to the present. His opinion that financial markets can make our world a better place if financial instruments and market regulations are used correctly was well illustrated by several examples.,By Florian G,"Sep 30, 2019",5,financial-markets-global
"Great introduction on the concepts of Finance. Perfect to make you draw your paths on and what are the fields of study you would like to deeply study. All the lectures provide a set of references very useful for the future studies. Thank you Professor Shiller, thanks to his team, thanks to Coursera for one more opportunity for personal development.",By Pedro F M P,"Jun 08, 2019",5,financial-markets-global
"Prof. Shiller explained financial markets in entertaining way. I had previously some basic knowledge, but his view on markets as part of the technology was really eye-opening. With his historical examples I learned not only how markets works today, but how they came to be.  That helps me to predict where they will go (at least philosophically).",By Jakub S,"Sep 25, 2019",5,financial-markets-global
"One of the best courses out there on Coursera. At first I only expected to learn more how financial market worked. But after the course, I have learned so much more about the role and importance of financial market in daily life. Professor Robert Shiller offers very interesting insights in many relevant topics. Highly recommend for everyone.",By Tran N M T,"Jan 20, 2019",5,financial-markets-global
"I found the course very useful especially the insights and presentation delivered by professor from a top tier university. Not only strengthen my understanding to financial markets, I also explored new knowledge and concepts through the course. I am highly recommended the course to everyone who is working in financial industry. ",By Lee S T,"Mar 28, 2019",5,financial-markets-global
"Mostly explanations of general concepts and principles, but they are clear and straightforward, not much math. Trusted professor with practical expertise and prizes in the field.Might be suitable and interesting for common folk looking to improve their financial literacy. Perfect teaser for further deep diving into the topic.",By Roman K,"Aug 27, 2019",5,financial-markets-global
"I have really enjoyed with the contents of this course. Before taking this course I had a really bad image about the financial markets commonly related with speculation, easy money and Wall Street sharks. This course shows that there is also a good side, and how financial markets can improve common problems of the society.",By Jordi T,"Dec 12, 2019",5,financial-markets-global
Great course and great Professor! I took the first edition of Financial Markets on Coursera and I am glad I took this edition too! Prof. Shiller is a great teacher and mentor and he helped me better understanding how the world works today. In my next life (I am too old now) I will try to pursue a PhD under Prof. Shiller!,By Davide P,"Jan 24, 2019",5,financial-markets-global
"Excellent course. Professor Shiller is very clear explaining all topics. This course is really helpful, for people that is beginning in financial topics and also for people that already knows finance. That's because of the point of view of the topics, always with a social component. I really enjoy it and I recommend it.",By Mario V L,"Aug 06, 2019",5,financial-markets-global
"Very good general overview of financial markets with the view of how it can foster prosperity for human society.  In particular, it expanded very much my understanding of risk management. Prof Schiller is an enthusiast of the subject and has lots of precious information and good stories to share. I fully recommend. ",By Carlos H d S,"Sep 28, 2019",5,financial-markets-global
The best thing that i have learned as a undergraduate till date was my learning from this courseI believe i am blessed to have learned under a noble prize winning professor for no cost. Huge and deep respect for Dr. Robert Shiller the best par i liked about the course was Negative beta value stocks and Arbitrage,By Hitesh M,"Jan 02, 2019",5,financial-markets-global
"
A course taught by a very valued teacher. I dont think theres is much to say about the value you receive from a Nobel Prize holder like Professor Shiller. That was the reason I started this course. The course provided a very broad but fundamental knowledge / overview about financial markets and how they work. 

",By zlatimir s,"Aug 17, 2019",5,financial-markets-global
"Hands down will give this course 5-star. If there was an extra star, wouldn't mind to give that extra. Robert Shiller, Fin Markets Veteran, has excellent knowledge regarding the course and its surrounding.  Overall experience is great. Kudos to people, behind and before the course. HatsOff COURSERA!!",By Nandan A,"Apr 21, 2019",5,financial-markets-global
"Very useful course with a broad scope of coverage. I specially liked topics like Finance and Society and the assignments. It would have been useful to get into more depth in the typical finance areas like Options, Futures, etc. but I guess that we couldn't have mustered time for that given the scope. ",By Karthick,"Apr 12, 2019",5,financial-markets-global
I gained a much more exposure to / understanding of the US financial / Stock market. The course material and content are very good and Dr. Shiller presentation is excellent. Thanks to Yale UN and the team members behind this prestigious task. Kind Regards Bassem Saleh - bsaleh355@gmail.com,By Bassem S,"Dec 21, 2019",5,financial-markets-global
A course which adds great value to your knowledge if you are interested in the financial services industry. Prof. Schiller's insights are great and interesting. Style of classes is in such a way that he encourages you to think and appreciate all the wonders of finance. Highly recommended.,By Rohith R,"Nov 25, 2019",5,financial-markets-global
"Professor Schiller is the reason to take this course. He understands and explains Finance not just in the traditional sense, but also in an applied way that matters to society and the good that can come from Finance. It's not just about money, it's about us as a people.",By Kieran Y,"Jun 09, 2019",5,financial-markets-global
Professor Shiller provides an amazing introduction to Financial Markets through this course. His experience in the field of Finance makes this course invaluable. The course focuses on teaching why finance is an essential part of human lives and how it drives economies. ,By Rahul Y,"Aug 16, 2019",5,financial-markets-global
"Professor Shiller is a great economist and a great teacher, his broad knowledge and way of teaching is simply superb. I wish I had professors like him in my college. Nevertheless this course felt like directly sitting in the yale classroom and learning from him.",By Hanumant K,"Sep 15, 2019",5,financial-markets-global
This should be a course that just about every mature adult should take to learn about the basics of financial markets. The story telling format/way of teaching of Professor Robert Shiller makes the course an enjoyable and memorable learning experience.,By Guillermo V,"Sep 17, 2019",5,financial-markets-global
"Most badass course ever. I'll be doing it as many times as I need to get this subject down! This guy is a genius! I love Dr. Shiller, I love his positive uplifting attitude toward money, and I love this amazing, high-end course. Go Bulldogs! ",By Rita G,"Dec 16, 2019",5,financial-markets-global
Very pleased with this course. Professor Shiller presents the information in a way that kept these concepts interesting and relevant to current events. I could not tell that these lectures were from years prior. Truly a wealth of insight! ,By Maoti G,"Apr 05, 2019",5,financial-markets-global
Extraordinary course for who are fascinated and new to financial world.  Professor Shiller  not only explains you concepts but also inspires a lot and make you more fascinated towards financial markets and behavioural economics/finance.  ,By  N G R ,"Apr 06, 2019",5,financial-markets-global
It is an amazing course and the best part is it is at a really cheap rate. I am studying Macro eco right now in my grad school and the topics i learn here are quite helping me understand the connection between various variables.,By Rahul K,"Jul 09, 2019",5,financial-markets-global
"An excellent course which touches almost all the aspects of various financial markets. One needs to have a bit of prior knowledge to understand the course. Overall, it adds a lot of value to one's financial understanding. ",By Shashwat P,"Sep 01, 2019",5,financial-markets-global
Great course that goes surprisingly in-depth into financial markets and financial thinking. Definitely worth it for people new to the finance world as well as those who have been working within the industry for a while. ,By Peter P,"Feb 28, 2019",5,financial-markets-global
"Useful to get in touch with Finance, its origin and the practical real-world application of its instrument. It is recommended to whom want to learn the basis of finance, even without an economic/statistical background.",By Francesca O,"May 02, 2019",5,financial-markets-global
"Great course, great professor, great insights, a must for any financially active (or inactive) person to understand the history of financial instruments and the logic (and psychology?) behind them.Highly recommended",By Itsik S,"Dec 29, 2019",5,financial-markets-global
I really enjoyed this course. We can learn the comprehensive theories of Finance and various kinds of historical situation and case during the lecture. Thank you for the wonderful opportunity and experience.,By Ken O,"Sep 28, 2019",5,financial-markets-global
"Amazing experience of reviewing Financial Markets with Professor Shiller, a world reference on the subject and a Nobel Prize in Economics. I liked the professor's point of view. Thank you for this experience ",By Pitou E,"Aug 25, 2019",5,financial-markets-global
"What a privilege to do a course of this calibre with the one and only Robert Schiller! Its been truly inspirational and there is lots to follow up on. Well done and many thanks to the entire course team.




",By Eben H,"Nov 08, 2019",5,financial-markets-global
"One of the best courses i have taken on coursera, incorporating Psychology to the traditional finance theory which makes it exciting and  fascinating. Thank your Professor Shiller, you are awesome.",By Sheraz K,"Feb 05, 2019",5,financial-markets-global
"By far the best MOOC I've taken in terms of pacing, content, and presentation. To any university who wants to know how to successfully communicate via online platforms, look no further than this. ",By Reid J,"Mar 05, 2019",5,financial-markets-global
This is a wonderful course that teaches the core essentials of Financial Markets in an unusual but more realistic style. Two weeks in and I can already discuss concepts with expert-rate traders.  ,By Hauwa Y,"Aug 26, 2019",5,financial-markets-global
I enjoyed the layout and overview of the basics of Financial Markets. I enjoyed listening to the professor during lectures and his Q&A session with students. It made me feel as if I was at Yale.,By John,"Mar 05, 2019",5,financial-markets-global
"such an extraordinarily amazing course very informative, professor Shiller is amazing and clearly explains everything. benefited a lot from this course. thanks to Yale, Shiller and Coursera",By Mazin A I,"Jan 21, 2019",5,financial-markets-global
This is a very interesting course that gives you a broad understanding of the functioning of financial markets. I absolutely recommend it to anyone that wants to learn more about finance.,By Alexander V,"Oct 15, 2019",5,financial-markets-global
"In this course professor Shiller gives you an idea about financial markets , how they work, their valuation. This course has been very useful and it is better understanding for beginners.",By gongala v s s,"Sep 19, 2019",5,financial-markets-global
I really liked the course. Was amazing to have the possibility of learning from an amazing Teacher well known in the community. Professor Shiller is also an amazing teacher I have to say.,By Alessandro o,"May 28, 2019",5,financial-markets-global
"A very good course for people who want an overview of the tools that finance and financial engineering can provide, even for those who are not necessarily pursuing a career in finance",By Sayantan D,"Jun 18, 2019",5,financial-markets-global
This course was everything I needed to dig deeper in the finance world.It is very didactic and interesting.Robert Schiller explaining things makes you want to search more about it.,By Victor N,"Dec 10, 2019",5,financial-markets-global
Amazing course. Introduced a lot of learning components and changed my perspective towards a lot of financial tools and services! A big thank you to professor Shiller and Coursera!,By Rahul C,"Jan 19, 2019",5,financial-markets-global
"I love Prof. Robert Shiller and his way of intuitive teaching. I wish
he produces more risk management and finance courses in MOOC platform to
democratize good quality education.",By Gopi G,"Sep 16, 2019",5,financial-markets-global
"No tenia ni la menor idea de como funcionaban los mercados financieros, pero con este curso y la explicacion  del robert shiller comprendí las bases básicas del mundo financiero",By Carlos O M,"Oct 17, 2019",5,financial-markets-global
"It is simply a blast to listen to Professor Shiller, who drops witty elements of wisdom in all areas of economics that the course goes through. Really worth the time investment!",By Guillaume T,"Mar 22, 2019",5,financial-markets-global
"this course actually helped me understand situations around me , which I though may not even have huge impacts on the society as a whole. Thanks for the opportunity coursera.",By ABIGAIL A,"Dec 13, 2019",5,financial-markets-global
"Very informative, I have spent 8 years in finance in various different roles in banks and corporates and I still found a world of material in this course that I didn't know.",By Ben C,"Dec 30, 2019",5,financial-markets-global
"Un curso muy bien logrado, con tópicos claves y relevantes para una persona que desee conocer más de los mercados financieros y la historia de las finanzas. Excelente curso.",By Fuad O S,"Apr 23, 2019",5,financial-markets-global
"Es un curso totalmente recomendable no solamente para aquellos de la rama de las finanzas sino para todos, me permitió poder comprender aspectos básicos del tema. Excelente.",By Nicolas G,"Mar 28, 2019",5,financial-markets-global
